driver_id,name,email,phone,registration_date,vehicle_type,license_plate,city,rating,is_active
DRV000043,Angela Graham,angela30@gmail.com,+1-415-519-7149,2025-03-29,Sedan,4BRQ204,Berkeley,4.22,True
DRV000044,Alexis Crosby,alexis.c@gmail.com,+1-707-745-8018,2026-01-08,SUV,BQA7882,Palo Alto,4.87,True
DRV000045,Douglas Sawyer,dsawyer@aol.com,+1-650-645-3885,2025-06-23,Sedan,ZHV9817,San Jose,4.7,True
DRV000046,Christina Haley,christina44@yahoo.com,+1-510-485-8385,2025-11-06,Sedan,8ORI606,Palo Alto,4.56,True
DRV000047,Walter Ray,walter55@hotmail.com,+1-925-810-5526,2025-09-09,Van,NEG7658,North Beach,3.53,True
DRV000048,Kathleen Wilkinson,kwilkinson@outlook.com,+1-415-295-5820,2026-01-16,Sedan,4HPM643,Castro,4.0,True
DRV000049,Philip Estes,philip52@aol.com,+1-209-477-6023,2026-03-31,Sedan,2SIT880,Berkeley,4.44,True
DRV000050,Sharon Preston,sharon.p@icloud.com,+1-925-302-4180,2024-10-20,Economy,6EAN380,Downtown SF,4.27,False
DRV000051,Julia Buchanan,juliabuchanan@aol.com,+1-209-305-1200,2026-02-10,Economy,MLE1841,Pacific Heights,4.03,False
DRV000052,Jeremy Hamilton,jhamilton@outlook.com,+1-510-790-1878,2025-12-30,SUV,5CGO526,Financial District,4.72,True
DRV000053,Joe Guerrero,jguerrero@outlook.com,+1-209-504-8025,2025-10-31,Sedan,1PTY312,Oakland,4.87,True
DRV000054,Jane Bennett,janebennett@yahoo.com,+1-510-360-1043,2025-10-19,Sedan,8HGS819,Palo Alto,4.56,True
DRV000055,Alexis Nunez,alexis.n@aol.com,+1-408-635-2880,2024-12-09,SUV,QXV2169,Downtown SF,4.84,True
DRV000056,Brandon Russo,brandon82@outlook.com,+1-510-679-5982,2024-12-06,Sedan,YNM2317,Financial District,4.58,True
DRV000057,Douglas Roberson,douglas87@gmail.com,+1-510-434-1339,2025-05-30,Sedan,RHB3870,North Beach,3.68,True
DRV000058,Joan Simon,joan.s@outlook.com,+1-209-293-8700,2025-11-03,Luxury,6ICE521,Berkeley,4.18,True
DRV000059,Jane Fischer,jane.fischer@outlook.com,+1-510-522-5135,2025-08-24,Economy,7WVA990,Chinatown,4.23,True
DRV000060,Susan Payne,susan76@icloud.com,+1-209-840-8242,2026-02-14,Luxury,FOY8178,Mountain View,3.67,True
DRV000061,Ashley Young,ashley.y@yahoo.com,+1-650-518-1224,2026-04-11,Luxury,CZX8560,Mission District,4.5,True
DRV000062,Michelle Conway,michelle.c@aol.com,+1-925-625-8905,2026-02-01,Sedan,GOJ9327,Berkeley,4.4,False
DRV000063,Sarah Greer,sarah63@icloud.com,+1-925-202-5634,2025-11-02,SUV,VPR3434,North Beach,4.62,True
DRV000064,Raymond Singleton,raymond.s@outlook.com,+1-209-529-4090,2025-07-22,Economy,GJW7730,Downtown SF,4.64,True
DRV000065,Cheryl Kirby,cherylkirby@outlook.com,+1-415-329-9229,2026-01-16,Luxury,ICV2633,Chinatown,4.25,False
DRV000066,Patricia Chen,patriciachen@gmail.com,+1-209-471-6546,2025-11-08,Sedan,KCI9742,Haight-Ashbury,4.54,False
DRV000067,Bruce Stephenson,bruce.stephenson@icloud.com,+1-510-440-5708,2025-09-22,Sedan,TLC2646,North Beach,4.64,True
DRV000068,Scott Young,scott15@gmail.com,+1-925-567-7141,2024-03-23,Economy,4NOU274,SOMA,4.22,True
DRV000069,Maria Shepard,mariashepard@outlook.com,+1-650-437-8555,2026-01-21,Luxury,LRX8622,Mountain View,4.67,True
DRV000070,Marie Shaw,mshaw@hotmail.com,+1-925-854-7951,2026-04-20,Sedan,LHZ8916,Mission District,4.66,True
DRV000071,Lawrence Gates,lawrence83@aol.com,+1-925-222-7484,2024-09-18,Sedan,1XTV393,San Jose,4.56,True
DRV000072,Marilyn Marquez,marilynmarquez@icloud.com,+1-925-894-3240,2026-04-28,Van,XQI8222,Downtown SF,4.33,True
DRV000073,Deborah Ford,deborah21@hotmail.com,+1-831-379-4289,2024-08-11,SUV,9WJN379,Palo Alto,4.17,True
DRV000074,Andrea Roy,andrea.roy@outlook.com,+1-510-344-4696,2025-11-23,Luxury,SZZ6992,Mission District,4.8,True
DRV000075,Patricia Gibbs,patricia.gibbs@outlook.com,+1-707-888-5295,2026-01-08,Sedan,VYC4830,North Beach,4.02,True
DRV000076,Grace Casey,gracecasey@aol.com,+1-510-850-8606,2025-09-27,SUV,HKD1609,Pacific Heights,4.65,False
DRV000077,Sandra Jenkins,sandra.j@yahoo.com,+1-831-664-7078,2025-02-19,Economy,TYK3531,Mountain View,2.85,True
DRV000078,Betty Rojas,brojas@hotmail.com,+1-415-906-7070,2026-04-22,Sedan,8YWC802,Castro,4.64,True
DRV000079,Diana Gates,dgates@hotmail.com,+1-408-325-8450,2025-11-19,Sedan,4QPA905,Castro,3.63,True
DRV000080,Steven Mcconnell,steven.mcconnell@icloud.com,+1-408-800-4538,2026-04-20,Luxury,GUU1046,Pacific Heights,4.27,False
DRV000081,Donna Murray,donna79@yahoo.com,+1-510-876-1422,2025-05-24,Sedan,6UGI278,Pacific Heights,4.09,True
DRV000082,Amy Whitehead,amy.whitehead@aol.com,+1-510-687-8344,2026-03-15,Economy,NCN1710,Berkeley,3.06,False
DRV000083,Willie Ayers,wayers@aol.com,+1-415-262-8847,2025-12-19,Economy,LCS8267,Mission District,4.47,False
DRV000084,Samuel Meadows,samuel.meadows@yahoo.com,+1-925-839-9984,2025-04-19,SUV,JPH9282,Financial District,3.8,True
DRV000085,Olivia Graham,olivia.g@aol.com,+1-408-640-8398,2026-04-04,Sedan,KVK2557,Castro,4.9,True
DRV000086,Alan Pope,alanpope@aol.com,+1-209-268-2494,2025-03-04,Sedan,CCT3131,Chinatown,4.51,True
DRV000087,Grace Blevins,grace.blevins@outlook.com,+1-707-881-7929,2025-05-09,Luxury,SZP6761,Mission District,3.83,True
DRV000088,Jason Gordon,jgordon@yahoo.com,+1-510-558-7022,2025-12-29,Sedan,5OUV885,Palo Alto,3.52,True
DRV000089,Juan Acevedo,juan.acevedo@icloud.com,+1-925-229-3955,2026-04-06,Sedan,5XJE246,Financial District,4.69,True
DRV000090,Sarah Vargas,sarah.vargas@gmail.com,+1-408-585-7878,2025-03-18,SUV,3JSU681,Financial District,3.74,True
DRV000091,Susan Mendez,susan.m@gmail.com,+1-510-478-8259,2026-03-28,Sedan,MLH9394,Mission District,4.67,True
DRV000092,Mark Houston,mark.h@outlook.com,+1-925-246-4612,2025-12-25,Economy,1AHF240,San Jose,4.0,True
DRV000093,Katherine West,kwest@aol.com,+1-831-379-3116,2026-04-19,Sedan,4NVU173,Haight-Ashbury,4.08,False
DRV000094,David Booth,dbooth@gmail.com,+1-707-789-8033,2026-02-06,SUV,SKC1341,Castro,3.02,True
DRV000095,Joe Blankenship,joe98@gmail.com,+1-831-308-4986,2026-04-24,Sedan,7NKI447,Marina,4.27,True
DRV000096,Carol Watson,carol.watson@icloud.com,+1-408-994-6724,2026-04-10,SUV,3GDF716,SOMA,3.7,True
DRV000097,Abigail Richardson,arichardson@outlook.com,+1-209-897-6295,2026-04-27,Sedan,QDB8245,Oakland,4.62,True
DRV000098,Stephen Buckley,stephen17@icloud.com,+1-510-517-8565,2025-11-19,Economy,1JHQ975,Mission District,3.54,True
DRV000099,Martha Charles,martha.c@icloud.com,+1-415-660-4084,2025-11-22,Economy,8NYL930,Mountain View,4.13,False
DRV000100,Eugene Ruiz,eugeneruiz@gmail.com,+1-408-924-8172,2025-10-26,SUV,NPJ5634,Haight-Ashbury,3.55,True
DRV000101,Gregory Moon,gregory16@gmail.com,+1-707-296-7333,2026-03-11,Sedan,3IPD458,Pacific Heights,4.55,False
DRV000102,Ralph Delacruz,ralphdelacruz@icloud.com,+1-510-517-7171,2026-04-15,SUV,IDS9624,Mission District,4.36,True
DRV000103,Adam Ellison,adam.ellison@hotmail.com,+1-925-384-4509,2024-08-10,Luxury,8EZE402,Palo Alto,3.74,False
DRV000104,Martha Durham,martha.durham@aol.com,+1-707-984-3147,2025-01-08,SUV,EES3712,Berkeley,3.45,True
DRV000105,Joyce Dickerson,joycedickerson@outlook.com,+1-925-970-8355,2026-02-19,SUV,4IVM955,Marina,3.79,True
DRV000106,Lawrence Cline,lawrence69@outlook.com,+1-831-365-4271,2026-02-28,SUV,DGQ7081,Chinatown,4.73,False
DRV000107,Eugene Villarreal,eugene25@gmail.com,+1-650-479-8361,2026-02-16,Sedan,DLY4637,Palo Alto,4.65,True
DRV000108,Rachel Robinson,rachel.robinson@outlook.com,+1-707-441-7326,2025-08-16,SUV,JAY6493,San Jose,4.04,True
DRV000109,Elizabeth Pratt,elizabethpratt@aol.com,+1-209-659-1086,2025-06-15,Van,AFD9647,Haight-Ashbury,4.59,True
DRV000110,Pamela Lynch,pamela.lynch@gmail.com,+1-408-629-8489,2026-04-18,Economy,8PAN347,Berkeley,4.4,True
DRV000111,Kelly Johnson,kelly88@yahoo.com,+1-831-391-2402,2026-03-21,Sedan,JYO9316,Chinatown,4.53,True
DRV000112,Ethan Campbell,ecampbell@hotmail.com,+1-925-965-1266,2026-02-09,Luxury,2ITQ890,Financial District,4.62,True
DRV000113,Christine Marshall,christine15@icloud.com,+1-707-858-3868,2026-01-09,Sedan,RZM3986,San Jose,3.45,True
DRV000114,Kimberly Blackwell,kimberly14@yahoo.com,+1-415-404-1686,2026-02-02,SUV,5NZO359,Downtown SF,3.97,True
DRV000115,Edward Klein,edward.klein@aol.com,+1-707-479-3039,2025-11-04,Sedan,LKL7334,Castro,4.52,False
DRV000116,Jacqueline Mcclure,jacqueline.m@hotmail.com,+1-510-944-7955,2025-03-23,Economy,3OIC776,Pacific Heights,4.56,True
DRV000117,Bryan Shields,bshields@hotmail.com,+1-209-243-6776,2026-04-24,SUV,LQU1939,Mission District,4.24,True
DRV000118,Julie Vazquez,julievazquez@gmail.com,+1-650-822-8179,2026-04-09,Economy,2GQJ680,Downtown SF,4.64,True
DRV000119,Kathryn Dorsey,kathryn57@outlook.com,+1-510-787-3255,2026-03-15,Economy,KQG2858,Downtown SF,3.86,True
DRV000120,Jacqueline Gentry,jacqueline.g@gmail.com,+1-925-993-5264,2026-03-09,Sedan,FPS9047,Marina,2.82,True
DRV000121,Christopher Robles,crobles@gmail.com,+1-707-883-6692,2026-04-01,SUV,OHH3580,Berkeley,4.6,True
DRV000122,Olivia Salas,olivia32@icloud.com,+1-408-324-4292,2025-01-01,SUV,GMJ7044,North Beach,4.29,True
DRV000123,Julia Stevens,julia.stevens@gmail.com,+1-925-607-8842,2025-11-27,SUV,TVB6194,Oakland,4.69,True
DRV000124,Megan Mccall,meganmccall@icloud.com,+1-650-986-3114,2026-01-13,Sedan,1VNH265,Castro,3.76,False
DRV000125,Laura Nash,laura76@gmail.com,+1-925-401-5496,2026-04-20,Sedan,5PCQ706,Financial District,4.77,True
DRV000126,Willie Whitney,willie87@icloud.com,+1-415-229-2330,2026-02-13,Sedan,5QTK754,Downtown SF,3.32,True
DRV000127,Bruce Everett,bruce47@outlook.com,+1-408-901-7653,2026-04-03,Sedan,2REK575,Marina,3.39,True
DRV000128,Andrew Sparks,andrew50@outlook.com,+1-650-978-7070,2025-11-25,SUV,CGD8366,Marina,2.9,True
DRV000129,Richard Zimmerman,richard.z@outlook.com,+1-408-363-6364,2025-08-24,Sedan,SEE9433,North Beach,4.53,True
DRV000130,Brandon Mcclure,brandon.mcclure@outlook.com,+1-209-446-4524,2026-01-06,SUV,BHP8710,Pacific Heights,4.29,True
DRV000131,Margaret Hartman,margaret27@aol.com,+1-707-982-7606,2026-01-16,SUV,7BOJ395,Mission District,4.64,True
DRV000132,Evelyn Estes,evelyn.e@aol.com,+1-510-331-2584,2024-11-21,Sedan,6OJD716,Chinatown,4.67,True
DRV000133,David Carter,davidcarter@aol.com,+1-707-685-9508,2026-03-31,Economy,9DYI502,Financial District,4.32,True
DRV000134,Scott Valentine,scott.v@icloud.com,+1-209-925-5911,2026-04-11,Economy,1JRZ697,Pacific Heights,4.61,True
DRV000135,Emily Terrell,emily.t@outlook.com,+1-925-871-4728,2026-03-11,Economy,PEQ7229,SOMA,4.55,True
DRV000136,Gary Wright,gary.wright@yahoo.com,+1-415-651-6139,2026-03-20,Sedan,7RKU582,Palo Alto,4.37,False
DRV000137,Russell Rogers,russell.r@yahoo.com,+1-707-878-8837,2025-03-25,Economy,IEX6608,Chinatown,4.35,True
DRV000138,Cynthia Acevedo,cynthia98@icloud.com,+1-209-396-5038,2026-03-05,SUV,5FZH395,Berkeley,4.86,True
DRV000139,Randy Glass,rglass@hotmail.com,+1-925-494-2996,2024-11-13,Economy,OXK6654,San Jose,4.57,True
DRV000140,Justin Rivera,justin.rivera@hotmail.com,+1-209-871-5201,2025-07-15,SUV,FVH5450,SOMA,4.37,True
DRV000141,Amy Brennan,amybrennan@gmail.com,+1-408-853-4814,2026-03-08,Sedan,7IMR240,Downtown SF,3.78,False
DRV000142,Kenneth Dyer,kdyer@outlook.com,+1-408-974-5706,2026-03-04,Sedan,1XCO647,Berkeley,4.27,True
DRV000143,Elizabeth Mills,elizabethmills@gmail.com,+1-831-707-4052,2025-12-06,Economy,ZYW1151,Pacific Heights,3.89,True
DRV000144,Margaret Bryan,mbryan@aol.com,+1-209-337-9261,2025-10-16,Sedan,4VIT763,Pacific Heights,4.91,True
DRV000145,Patricia Hogan,patricia.h@aol.com,+1-408-379-7643,2026-04-22,Sedan,NCR4027,SOMA,3.83,True
DRV000146,Amy Miller,amiller@yahoo.com,+1-209-971-5374,2026-02-01,Sedan,HSA6890,Berkeley,4.57,True
DRV000147,Alan Moreno,alan69@yahoo.com,+1-831-902-9233,2026-01-04,Economy,XUR5833,Castro,4.73,True
DRV000148,Jeffrey Marshall,jeffreymarshall@outlook.com,+1-707-625-9998,2026-03-07,SUV,TUV5054,Oakland,3.25,False
DRV000149,Charles Hull,charles.h@aol.com,+1-707-279-2838,2025-08-08,Sedan,9XFN268,Castro,4.28,False
DRV000150,Joan Griffin,joangriffin@aol.com,+1-209-293-9361,2026-01-18,Sedan,1LNL159,Chinatown,4.36,True
DRV000151,Brandon Harris,brandon60@gmail.com,+1-408-792-2196,2025-11-21,Sedan,6SOB170,Mountain View,4.49,True
DRV000152,Pamela Grimes,pamelagrimes@aol.com,+1-831-583-7266,2025-12-11,Luxury,7JRR652,SOMA,4.17,True
DRV000153,Rachel Moreno,rachel.m@outlook.com,+1-650-945-4648,2025-05-25,Sedan,TZM9920,Haight-Ashbury,4.32,True
DRV000154,Ryan Baldwin,ryan68@yahoo.com,+1-925-393-2848,2025-11-30,Luxury,7PYX346,Marina,4.72,True
DRV000155,Jordan Torres,jordan.t@aol.com,+1-415-450-1724,2024-08-01,Luxury,4OTU243,Chinatown,4.46,False
DRV000156,Cynthia Woodward,cynthia.w@icloud.com,+1-707-442-5944,2025-06-17,Sedan,ZNK5508,Downtown SF,4.48,True
DRV000157,Beverly Mills,bmills@icloud.com,+1-209-248-6642,2025-09-28,Sedan,RUI7821,Haight-Ashbury,4.31,True
DRV000158,Dennis Soto,dsoto@yahoo.com,+1-408-507-3365,2025-07-23,Sedan,XOZ9683,SOMA,4.05,True
DRV000159,Angela Cunningham,angela.cunningham@outlook.com,+1-707-294-9775,2026-04-26,Luxury,EGR1647,Palo Alto,4.42,True
DRV000160,Johnny Mejia,johnny.m@yahoo.com,+1-209-413-6455,2025-07-16,Van,1FET864,San Jose,4.64,True
DRV000161,Gary Roach,groach@yahoo.com,+1-707-994-5637,2025-11-04,Luxury,9QIJ609,North Beach,4.66,True
DRV000162,Vincent Hardin,vincenthardin@hotmail.com,+1-707-623-1749,2025-09-02,Sedan,FDG7841,Pacific Heights,4.86,True
DRV000163,Frank Estrada,frank.e@yahoo.com,+1-209-763-6530,2026-03-14,Sedan,8ZQM272,Berkeley,4.08,True
DRV000164,Carol Kennedy,ckennedy@yahoo.com,+1-415-736-1554,2025-10-08,Sedan,BVB1104,Haight-Ashbury,3.87,True
DRV000165,Rose Ortega,roseortega@gmail.com,+1-408-717-8471,2026-01-07,SUV,8RAN521,Downtown SF,4.16,True
DRV000166,Vincent Alvarado,vincent78@gmail.com,+1-831-383-2753,2025-12-22,Sedan,NGQ5135,Palo Alto,4.61,True
DRV000167,Diane Chavez,dchavez@outlook.com,+1-408-913-4700,2026-02-12,Sedan,2QWT195,Haight-Ashbury,3.38,True
DRV000168,Julia Wilkinson,julia.wilkinson@aol.com,+1-650-284-9189,2026-03-31,Economy,QIZ2562,Mountain View,4.04,True
DRV000169,David Estrada,david.e@outlook.com,+1-925-247-2218,2025-11-25,Sedan,HOR3938,Mountain View,4.23,False
DRV000170,Robert Carroll,robertcarroll@aol.com,+1-831-278-5903,2024-10-17,Luxury,4OWR653,Castro,3.85,True
DRV000171,Amy Kennedy,amy.kennedy@icloud.com,+1-707-254-2600,2026-01-26,Sedan,2ITY506,San Jose,4.6,True
DRV000172,Gabriel Colon,gcolon@yahoo.com,+1-707-766-7150,2026-03-17,Economy,7CQU830,Mission District,4.57,True
DRV000173,Michelle Molina,michellemolina@aol.com,+1-831-524-6909,2025-11-20,Economy,1YLT204,SOMA,4.23,True
DRV000174,Douglas Hess,douglas.h@icloud.com,+1-831-305-1430,2025-04-16,Economy,9CPI494,Downtown SF,4.3,True
DRV000175,Heather Ruiz,heatherruiz@icloud.com,+1-650-901-7237,2025-10-07,SUV,5HMB545,Pacific Heights,4.45,True
DRV000176,Andrea Watson,andrea56@yahoo.com,+1-209-808-4203,2025-08-29,Sedan,3HYI735,Haight-Ashbury,4.3,True
DRV000177,Frank Eaton,featon@aol.com,+1-650-507-6253,2026-03-01,SUV,SME7524,Castro,4.85,True
DRV000178,Marie Tillman,marie.t@yahoo.com,+1-707-585-5592,2025-12-12,Economy,KCO9939,SOMA,4.33,True
DRV000179,Austin Robinson,austinrobinson@outlook.com,+1-925-909-2133,2026-02-14,SUV,UKM5961,Marina,4.67,True
DRV000180,Michelle Keith,michelle.keith@outlook.com,+1-209-796-7566,2025-09-21,Sedan,YWK1602,San Jose,3.75,False
DRV000181,Olivia Bartlett,olivia.bartlett@gmail.com,+1-408-873-6816,2025-04-26,Van,1OQQ870,Castro,4.2,False
DRV000182,Douglas Gonzales,douglas.gonzales@hotmail.com,+1-408-722-9499,2026-04-26,Sedan,RFJ8586,San Jose,3.62,True
DRV000183,Roy Roth,roy29@gmail.com,+1-209-307-5840,2026-01-14,Sedan,2DYD419,Castro,4.79,True
DRV000184,Timothy Ayers,timothy71@outlook.com,+1-510-648-8412,2025-07-19,Economy,5BSA451,Oakland,3.41,True
DRV000185,Kevin Newton,kevinnewton@icloud.com,+1-650-538-7985,2026-03-04,Van,GKE8080,Haight-Ashbury,3.8,True
DRV000186,Amber Peters,amber.p@outlook.com,+1-831-204-4519,2025-10-29,Sedan,2PUN474,Castro,4.29,True
DRV000187,Sandra Estrada,sestrada@icloud.com,+1-707-811-7367,2026-03-14,Sedan,PJV3826,Palo Alto,4.77,True
DRV000188,Scott Jacobson,scott.jacobson@aol.com,+1-650-520-2931,2026-01-05,Van,2ESN528,Financial District,4.41,True
DRV000189,Jerry Keith,jkeith@aol.com,+1-650-768-3733,2025-05-30,Economy,3EVQ986,Castro,4.29,False
DRV000190,Walter Fernandez,wfernandez@icloud.com,+1-209-618-9056,2026-01-02,Sedan,8MCA879,Marina,4.65,True
DRV000191,Stephen Sandoval,stephen78@yahoo.com,+1-209-779-9115,2025-12-30,Sedan,CCU7010,Chinatown,4.29,True
DRV000192,David Cline,davidcline@outlook.com,+1-510-953-5055,2026-01-11,Sedan,1LJV549,Palo Alto,4.36,False
DRV000193,Ethan Harper,ethan.h@aol.com,+1-707-927-8015,2026-02-27,Economy,3UVU683,Castro,4.18,True
DRV000194,Jordan Landry,jordan31@aol.com,+1-925-496-5380,2024-03-14,Sedan,NXV3221,San Jose,3.51,False
DRV000195,Jessica Padilla,jessicapadilla@aol.com,+1-650-455-3396,2026-04-29,Sedan,VTR9019,SOMA,4.53,True
DRV000196,Jonathan Donaldson,jdonaldson@outlook.com,+1-510-848-2525,2026-04-16,Sedan,5SWL599,Castro,3.13,True
DRV000197,Ethan Ross,ethan68@gmail.com,+1-831-423-8039,2026-03-21,Sedan,MIH9967,Financial District,3.78,True
DRV000198,Walter Allison,walter.allison@gmail.com,+1-510-841-8529,2024-12-21,Sedan,3LAY307,Berkeley,4.17,False
DRV000199,Albert Frank,albert30@gmail.com,+1-707-456-2350,2025-07-13,Sedan,3BQS873,Marina,3.75,True
DRV000200,Lisa Jimenez,lisajimenez@outlook.com,+1-510-335-4705,2025-10-27,SUV,LAI2975,Palo Alto,4.58,True
DRV000201,Kimberly Merritt,kimberlymerritt@outlook.com,+1-510-948-2678,2026-03-17,Van,6WDU871,Palo Alto,3.9,True
DRV000202,Kathryn Henry,kathryn.h@icloud.com,+1-415-824-3688,2025-12-27,SUV,4QDK803,North Beach,4.13,False
DRV000203,Daniel Sullivan,daniel.sullivan@icloud.com,+1-831-559-8035,2025-10-07,Sedan,3GQG715,Financial District,4.42,True
DRV000204,Larry Robinson,larry94@yahoo.com,+1-408-965-7418,2025-09-09,Economy,1UUG495,Mission District,4.63,True
DRV000205,Brittany Maddox,brittany.m@gmail.com,+1-707-524-3162,2025-05-02,SUV,7JRT888,Mission District,4.68,True
DRV000206,Sarah Thomas,sarahthomas@gmail.com,+1-415-607-9300,2025-03-11,SUV,9TLK755,Chinatown,4.86,True
DRV000207,Michelle Simon,michelle20@gmail.com,+1-408-359-9788,2025-11-06,SUV,2ILY344,Downtown SF,3.92,True
DRV000208,Christina Reynolds,christina.r@icloud.com,+1-415-516-3877,2026-03-26,Sedan,3SEY635,Chinatown,3.69,False
DRV000209,Vincent Mccarthy,vincent31@yahoo.com,+1-925-950-2934,2026-01-14,SUV,AUH2046,Pacific Heights,4.9,True
DRV000210,Theresa Donaldson,tdonaldson@outlook.com,+1-707-256-9185,2024-08-11,Sedan,EEU2889,Marina,3.23,False
DRV000211,James Mitchell,jamesmitchell@gmail.com,+1-209-572-7274,2024-08-08,SUV,EYA7870,Marina,4.76,True
